Character,Opponent,Round,Win,Loss,Stock Diff,Percentage,Score,Matchup,Accumulated_Sum
Incineroar,Dr Mario,1,1,0,2,67,2.665,1,2.665
Incineroar,Shulk,2,1,0,1,61,1.695,-1,4.36
Incineroar,Captain Falcon,3,1,0,2,63,2.685,-2,7.045
Incineroar,King Dedede,1,1,0,2,90,2.55,-3,9.594999999999999
Incineroar,Corrin,2,1,0,2,69,2.655,-1,12.25
Incineroar,Rosalina & Luma,3,1,0,3,177,3.115,1,15.365
Incineroar,Ike,4,1,0,2,70,2.65,0,18.015
Snake,Dark Pit,1,1,0,3,155,3.225,-1,3.225
Snake,Incineroar,2,1,0,1,16,1.92,0,5.145
Snake,Fox,3,1,0,1,89,1.555,0,6.7
Snake,Duck Hunt,4,1,0,3,150,3.25,2,9.95
Snake,King K Rool,1,0,1,-1,0,0.0,0,9.95
Yoshi,Mega Man,1,1,0,2,56,2.72,1,2.72
Yoshi,Piranha Plant,2,1,0,2,83,2.585,1,5.305
Yoshi,Terry,3,1,0,2,80,2.6,2,7.905
Yoshi,Pyra & Mythra,1,0,1,-1,100,0.5,-1,8.405000000000001
Greninja,Pichu,1,1,0,2,36,2.82,1,2.82
Greninja,Isabelle,2,1,0,1,56,1.72,1,4.54
Greninja,Pyra & Mythra,3,1,0,2,63,2.685,-2,7.225
Greninja,Sora,4,0,1,-1,62,0.31,-1,7.534999999999999
Greninja,Zelda,1,1,0,1,77,1.615,1,9.15
Greninja,Kirby,2,1,0,1,82,1.59,1,10.74
Greninja,Olimar,3,1,0,1,63,1.685,0,12.425
King K Rool,Olimar,1,1,0,1,5,1.975,-1,1.975
King K Rool,Samus,2,1,0,2,117,2.415,-2,4.390000000000001
King K Rool,Lucario,3,1,0,2,0,3.0,2,7.390000000000001
King K Rool,Sheik,1,1,0,2,38,2.81,-1,10.2
King K Rool,Ice Climbers,2,1,0,2,98,2.51,0,12.71
King K Rool,Kazuya,3,1,0,1,101,1.495,-2,14.205
King K Rool,Piranha Plant,4,1,0,2,126,2.37,0,16.575
King Dedede,Cloud,1,1,0,3,103,3.485,-2,3.485
