Character,Opponent,Round,Win,Loss,Stock Diff,Percentage,Score,Matchup,Accumulated_Sum
Peach,Mega Man,1,1,0,1,13,1.935,-1,1.935
Peach,Palutena,2,1,0,1,0,2.0,0,3.935
Peach,ROB,3,0,1,-1,6,0.03,-1,3.965
Peach,Wii Fit Trainer,1,1,0,1,57,1.715,1,5.68
Peach,Shulk,2,1,0,1,35,1.825,1,7.505
Peach,Duck Hunt,3,1,0,1,0,2.0,-2,9.504999999999999
Peach,Mario,1,1,0,1,56,1.72,0,11.225
Peach,Marth,2,1,0,1,0,2.0,1,13.225
Peach,Min Min,3,1,0,1,99,1.505,-1,14.73
Peach,Sora,4,1,0,2,26,2.87,1,17.6
Peach,Donkey Kong,5,1,0,2,62,2.69,-1,20.29
Peach,Toon Link,1,0,1,-1,0,0.0,-1,20.29
Falco,Sheik,1,1,0,1,109,1.455,2,1.455
Falco,Mario,2,1,0,1,143,1.285,1,2.74
Falco,King K Rool,3,1,0,1,31,1.845,2,4.585
Falco,Isabelle,1,1,0,3,185,3.075,1,7.66
Falco,Rosalina & Luma,2,1,0,2,106,2.47,0,10.13
Falco,Roy,3,1,0,2,47,2.765,-2,12.895
Falco,Lucina,1,1,0,1,32,1.84,0,14.735000000000001
Falco,Incineroar,2,1,0,3,144,3.28,0,18.015
Falco,Bayonetta,3,1,0,2,108,2.46,0,20.475
Falco,Bowser Jr,1,1,0,1,82,1.59,1,22.065
Falco,Ice Climbers,2,1,0,3,169,3.155,-2,25.22
Falco,Zelda,3,1,0,1,13,1.935,1,27.155
Falco,Meta Knight,1,1,0,2,42,2.79,0,29.945
Falco,Dark Samus,2,1,0,2,124,2.38,-1,32.325
Falco,Mega Man,3,1,0,2,70,2.65,1,34.975
Wii Fit Trainer,Lucas,1,1,0,1,107,1.465,0,1.465
Wii Fit Trainer,Wario,2,1,0,1,107,1.465,-1,2.93
Wii Fit Trainer,Donkey Kong,3,1,0,1,98,1.51,1,4.44
Wii Fit Trainer,Corrin,1,1,0,1,46,1.77,-1,6.21
Wii Fit Trainer,Ken,2,1,0,2,128,2.36,0,8.57
Wii Fit Trainer,Byleth,3,1,0,2,109,2.455,0,11.025
Wii Fit Trainer,Roy,5,1,0,1,15,1.925,1,12.950000000000001
Wii Fit Trainer,Dark Pit,1,1,0,1,7,1.965,0,14.915000000000001
Wii Fit Trainer,Richter,2,1,0,2,17,2.915,-1,17.830000000000002
Wii Fit Trainer,Simon,3,1,0,2,137,2.315,1,20.145
Wii Fit Trainer,Banjo & Kazooie,1,1,0,1,138,1.31,0,21.455000000000002
Wii Fit Trainer,Roy,2,0,1,-1,83,0.415,1,21.87
Wii Fit Trainer,Kirby,1,1,0,2,87,2.565,0,24.435000000000002
Wii Fit Trainer,PacMan,2,1,0,1,123,1.385,1,25.82
Wii Fit Trainer,Dark Samus,3,1,0,2,108,2.46,1,28.28
Wii Fit Trainer,Captain Falcon,4,1,0,1,49,1.755,-1,30.035
Wii Fit Trainer,Lucario,5,0,1,-1,124,0.62,1,30.655
Ryu,Mario,1,1,0,1,151,1.245,-1,1.245
Ryu,Little Mac,2,1,0,2,86,2.57,-1,3.815
Ryu,Marth,3,0,1,-1,106,0.53,0,4.345
Ryu,Mario,1,0,1,-1,97,0.485,-1,4.83
Ryu,Pyra & Mythra,1,1,0,2,70,2.65,0,7.48
Ryu,Kazuya,2,0,1,-2,73,-0.635,-1,6.845
Sheik,Lucina,1,1,0,1,11,1.945,2,1.945
Sheik,Falco,2,1,0,2,68,2.66,-2,4.605
Sheik,Inkling,3,0,1,-1,21,0.105,0,4.710000000000001
Sheik,Toon Link,1,1,0,1,0,2.0,0,6.710000000000001
Sheik,Samus,2,1,0,2,169,2.155,0,8.865
Sheik,Lucario,3,1,0,1,63,1.685,0,10.55
Sheik,Chrom,1,1,0,2,116,2.42,0,12.97
Sheik,Bowser,2,1,0,1,120,1.4,0,14.370000000000001
Sheik,Pokemon Trainer,3,1,0,1,70,1.65,1,16.02
Sheik,Meta Knight,4,1,0,2,16,2.92,-1,18.94
Sheik,Ice Climbers,1,0,1,-1,100,0.5,-2,19.44
Villager,Lucas,1,1,0,1,83,1.585,1,1.585
Villager,Mario,2,1,0,2,87,2.565,-2,4.15
Villager,Sora,3,0,1,-1,96,0.48,0,4.63
Villager,Piranha Plant,1,1,0,1,110,1.45,1,6.08
Villager,Young Link,2,0,1,-1,61,0.305,-2,6.385
Villager,Link,1,1,0,2,105,2.475,1,8.86
Villager,Joker,2,1,0,2,136,2.32,1,11.18
Villager,Olimar,3,0,1,-1,6,0.03,-2,11.209999999999999
Kirby,Mega Man,1,1,0,1,93,1.535,0,1.535
Kirby,Bayonetta,2,1,0,2,25,2.875,0,4.41
Kirby,Duck Hunt,3,0,1,-1,128,0.64,0,5.05
Kirby,Diddy Kong,1,1,0,3,114,3.43,-1,8.48
Kirby,Ice Climbers,2,1,0,2,35,2.825,-2,11.305
Kirby,Mario,3,1,0,1,71,1.645,-2,12.950000000000001
Kirby,Meta Knight,1,1,0,1,15,1.925,-2,14.875
